Date,PartnerName,Code,Subscriber Identifier,Aggregator Rate Plan,Active Subscriber Count,Suspended Subscriber Count
20200701,STX Group,916,4783669,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,4825545,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,4838799,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,4848040,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,4851805,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,4852008,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,4856743,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,4868398,MRC PPP 2 - Exclusive - Default,0,1
20200701,STX Group,916,4871897,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,4903868,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,4914556,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,4915647,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,4951073,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,4952919,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,4962837,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,4965639,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,4981639,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,4993128,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,4994230,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,4998612,MRC PPP 2 - Exclusive - Default,0,1
20200701,STX Group,916,5002063,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5008180,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5025418,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5026054,MRC PPP 2 - Exclusive - Default,0,1
20200701,STX Group,916,5048186,MRC PPP 2 - Exclusive - Default,0,1
20200701,STX Group,916,5049437,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5052582,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5076063,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5080674,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5088836,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5106389,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5126290,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5129752,MRC PPP 2 - Exclusive - Default,0,1
20200701,STX Group,916,5130728,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5144670,MRC PPP 2 - Exclusive - Default,0,1
20200701,STX Group,916,5149375,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5157352,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5160224,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5165519,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5167045,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5182190,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5193090,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5196364,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5201854,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5219424,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5219461,MRC PPP 2 - Exclusive - Default,0,1
20200701,STX Group,916,5260038,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5272071,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5273791,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5274374,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5275628,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5276832,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5294267,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5295285,MRC PPP 2 - Exclusive - Default,0,1
20200701,STX Group,916,5299691,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5312292,MRC PPP 2 - Exclusive - Default,0,1
20200701,STX Group,916,5341254,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5346633,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5352474,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5362423,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5364772,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5365343,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5386214,MRC PPP 2 - Exclusive - Default,0,1
20200701,STX Group,916,5404265,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5405479,MRC PPP 2 - Exclusive - Default,0,1
20200701,STX Group,916,5424251,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5426565,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5441401,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5479593,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5483916,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5489186,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5493980,MRC PPP 2 - Exclusive - Default,0,1
20200701,STX Group,916,5498900,MRC PPP 2 - Exclusive - Default,0,1
20200701,STX Group,916,5501427,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5506741,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5508590,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5514074,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5515675,MRC PPP 2 - Exclusive - Default,0,1
20200701,STX Group,916,5515833,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5518131,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5521231,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5548161,MRC PPP 2 - Exclusive - Default,0,1
20200701,STX Group,916,5550935,MRC PPP 2 - Exclusive - Default,0,1
20200701,STX Group,916,5556917,MRC PPP 2 - Exclusive - Default,0,1
20200701,STX Group,916,5558016,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5574096,MRC PPP 2 - Exclusive - Default,0,1
20200701,STX Group,916,5579482,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5587047,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5588423,MRC PPP 2 - Exclusive - Default,0,1
20200701,STX Group,916,5595591,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5596741,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5596865,MRC PPP 2 - Exclusive - Default,0,1
20200701,STX Group,916,5598333,MRC PPP 2 - Exclusive - Default,0,1
20200701,STX Group,916,5603863,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5604107,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5604899,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5606127,MRC PPP 2 - Exclusive - Default,0,1
20200701,STX Group,916,5610976,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5613661,MRC PPP 2 - Exclusive - Default,0,1
20200701,STX Group,916,5614518,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5616769,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5616864,MRC PPP 2 - Exclusive - Default,0,1
20200701,STX Group,916,5620884,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5621590,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5630929,MRC PPP 2 - Exclusive - Default,0,1
20200701,STX Group,916,5632973,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5639400,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5642148,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5642444,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5642648,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5645143,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5646868,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5647816,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5648526,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5652234,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5657843,MRC PPP 2 - Exclusive - Default,0,1
20200701,STX Group,916,5667551,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5682497,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5684788,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5686403,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5690342,MRC PPP 2 - Exclusive - Default,0,1
20200701,STX Group,916,5694017,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5695786,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5698137,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5698338,MRC PPP 2 - Exclusive - Default,0,1
20200701,STX Group,916,5700582,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5702182,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5703536,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5704211,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5707589,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5708021,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5709473,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5715099,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5718447,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5720789,MRC PPP 2 - Exclusive - Default,0,1
20200701,STX Group,916,5724995,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5725246,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5726997,MRC PPP 2 - Exclusive - Default,0,1
20200701,STX Group,916,5732016,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5732907,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5734029,MRC PPP 2 - Exclusive - Default,0,1
20200701,STX Group,916,5736409,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5739558,MRC PPP 2 - Exclusive - Default,0,1
20200701,STX Group,916,5741757,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5743301,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5746000,MRC PPP 2 - Exclusive - Default,0,1
20200701,STX Group,916,5746307,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5747750,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5748342,MRC PPP 2 - Exclusive - Default,1,0
20200701,STX Group,916,5750438,MRC PPP 2 - Exclusive - Default,0,1
20200701,STX Group,916,5753358,MRC PPP 2 - Exclusive - Default,1,0
